"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/26/2026","5/26/2026","5/27/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","4.680442","$213.66","($1,000.00)"
"5/20/2026","5/20/2026","5/20/2026","","Interest adjustment","INT","","","$0.08"
"5/20/2026","5/20/2026","5/21/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","1.289673","$387.70","($500.00)"
"5/20/2026","5/20/2026","5/20/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"5/19/2026","5/19/2026","5/20/2026","INTC","Intel
CUSIP: 458140100","Buy","4.502881","$111.04","($500.00)"
"5/19/2026","5/19/2026","5/20/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","3.999728","$221.38","($885.46)"
"5/19/2026","5/19/2026","5/20/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.517425","$221.36","($114.54)"
"5/19/2026","5/19/2026","5/20/2026","","ACH Deposit","ACH","","","$5,000.00"
"5/19/2026","5/19/2026","5/20/2026","DAL","Delta Air Lines
CUSIP: 247361702
Dividend Reinvestment","Buy","0.492364","$68.10","($33.53)"
"5/18/2026","5/18/2026","5/18/2026","DAL","Cash Div: R/D 2026-05-14 P/D 2026-06-04 - 178.837463 shares at 0.1875","CDIV","","","$33.53"
"5/18/2026","5/18/2026","5/19/2026","GEHC","GE HealthCare
CUSIP: 36266G107
Dividend Reinvestment","Buy","0.007765","$61.81","($0.48)"
"5/15/2026","5/15/2026","5/15/2026","GEHC","Cash Div: R/D 2026-04-03 P/D 2026-05-15 - 13.649159 shares at 0.035","CDIV","","","$0.48"
"5/14/2026","5/14/2026","5/15/2026","AAPL","Apple
CUSIP: 037833100
Dividend Reinvestment","Buy","0.047848","$297.81","($14.25)"
"5/13/2026","5/13/2026","5/13/2026","AAPL","Cash Div: R/D 2026-05-11 P/D 2026-05-14 - 52.795247 shares at 0.27","CDIV","","","$14.25"
"5/13/2026","5/13/2026","5/14/2026","NOK","Nokia
CUSIP: 654902204
Dividend Reinvestment","Buy","0.361152","$13.54","($4.89)"
"5/12/2026","5/12/2026","5/12/2026","NOK","Foreign Tax Witholding at $2.77","DTAX","","","($2.77)"
"5/12/2026","5/12/2026","5/12/2026","NOK","Sponsored ADR: Agency Processing Fee at $0.25","DFEE","","","($0.25)"
"5/12/2026","5/12/2026","5/12/2026","NOK","Cash Div: R/D 2026-04-28 P/D 2026-05-12 - 167.937029 shares at 0.047097","CDIV","","","$7.91"
"5/6/2026","5/6/2026","5/6/2026","SPCE","Stock Lending","SLIP","","","$1.99"
"5/6/2026","5/6/2026","5/6/2026","VFF","Stock Lending","SLIP","","","$0.01"
"5/6/2026","5/6/2026","5/6/2026","FAST","Stock Lending","SLIP","","","$0.01"
"5/6/2026","5/6/2026","5/6/2026","USO","Stock Lending","SLIP","","","$1.43"
"5/6/2026","5/6/2026","5/6/2026","NOK","Stock Lending","SLIP","","","$0.01"
"5/6/2026","5/6/2026","5/6/2026","ICAGY","Stock Lending","SLIP","","","$0.01"
"5/6/2026","5/6/2026","5/6/2026","CHPT","Stock Lending","SLIP","","","$0.30"
"5/6/2026","5/6/2026","5/6/2026","CRON","Stock Lending","SLIP","","","$0.01"
"5/6/2026","5/6/2026","5/6/2026","BYDDY","Stock Lending","SLIP","","","$0.01"
"5/6/2026","5/6/2026","5/6/2026","ARKK","Stock Lending","SLIP","","","$0.01"
"5/6/2026","5/6/2026","5/6/2026","ARKX","Stock Lending","SLIP","","","$0.01"
"4/30/2026","4/30/2026","4/30/2026","","Brokerage-held Cash Interest Payment","INT","","","$27.10"
"4/30/2026","4/30/2026","4/30/2026","","Interest Payment","INT","","","$49.56"
"4/30/2026","4/30/2026","4/30/2026","","Gold Deposit Boost Payment","GDBP","","","$7.05"
"4/29/2026","4/29/2026","4/30/2026","LCID","Lucid Group
CUSIP: 549498202","Buy","176.834659","$5.66","($1,000.00)"
"4/28/2026","4/28/2026","4/29/2026","GE","General Electric
CUSIP: 369604301
Dividend Reinvestment","Buy","0.001685","$284.78","($0.48)"
"4/27/2026","4/27/2026","4/27/2026","GE","Cash Div: R/D 2026-03-09 P/D 2026-04-27 - 1.020701 shares at 0.47","CDIV","","","$0.48"
"4/24/2026","4/24/2026","4/27/2026","CRM","Salesforce
CUSIP: 79466L302
Dividend Reinvestment","Buy","0.02465","$175.66","($4.33)"
"4/23/2026","4/23/2026","4/23/2026","CRM","Cash Div: R/D 2026-04-09 P/D 2026-04-23 - 9.83609 shares at 0.44","CDIV","","","$4.33"
"4/20/2026","4/20/2026","4/20/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"4/8/2026","4/8/2026","4/8/2026","VFF","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","SPCE","Stock Lending","SLIP","","","$2.36"
"4/8/2026","4/8/2026","4/8/2026","USO","Stock Lending","SLIP","","","$0.75"
"4/8/2026","4/8/2026","4/8/2026","GEHC","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","NOK","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","ICAGY","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","CRON","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","FAST","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","BYDDY","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","ARKX","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","ARKK","Stock Lending","SLIP","","","$0.01"
"4/8/2026","4/8/2026","4/8/2026","CHPT","Stock Lending","SLIP","","","$0.28"
"4/2/2026","4/2/2026","4/6/2026","KO","Coca-Cola
CUSIP: 191216100
Dividend Reinvestment","Buy","0.362028","$76.32","($27.63)"
"4/1/2026","4/1/2026","4/1/2026","KO","Cash Div: R/D 2026-03-13 P/D 2026-04-01 - 52.13743 shares at 0.53","CDIV","","","$27.63"
"4/1/2026","4/1/2026","4/1/2026","NVDA","Cash Div: R/D 2026-03-11 P/D 2026-04-01 - 113.140446 shares at 0.01","CDIV","","","$1.13"
"3/31/2026","3/31/2026","3/31/2026","","Brokerage-held Cash Interest Payment","INT","","","$27.94"
"3/31/2026","3/31/2026","3/31/2026","","Interest Payment","INT","","","$52.67"
"3/31/2026","3/31/2026","3/31/2026","","Gold Deposit Boost Payment","GDBP","","","$7.05"
